display_name,year,type,works_count,cited_by_count,city,longitude,latitude
"""Institute"" Energosetproject""",2012,facility,5,0,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2015,facility,1,1,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2016,facility,0,4,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2018,facility,0,1,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2020,facility,6,2,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2021,facility,1,2,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2022,facility,0,1,Moscow,37.720196,55.78595
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2012,facility,3,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2013,facility,1,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2014,facility,4,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2015,facility,5,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2016,facility,21,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2017,facility,18,14,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2018,facility,16,17,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2019,facility,35,37,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2020,facility,98,67,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2021,facility,105,166,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2022,facility,95,239,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2023,facility,44,268,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2024,facility,10,50,Moscow,37.57851,55.75338
"""VNIINM"" named after AA Bochvar",2012,facility,46,270,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2013,facility,35,303,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2014,facility,51,386,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2015,facility,54,416,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2016,facility,65,488,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2017,facility,42,481,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2018,facility,51,527,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2019,facility,54,511,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2020,facility,54,641,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2021,facility,54,626,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2022,facility,59,730,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2023,facility,30,669,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2024,facility,8,148,Moscow,37.461613,55.794662
24th Central Research Institute of the Russian Defence Ministry,NA,facility,NA,NA,Saint Petersburg,29.90144,59.87802
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2012,facility,1,3,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2013,facility,6,1,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2014,facility,9,4,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2015,facility,2,4,Moscow,37.622856,55.777287
