display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2021,facility,19,22,Moscow,"c(37.622856, 55.777287)",Moscow City
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2022,facility,17,21,Moscow,"c(37.622856, 55.777287)",Moscow City
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2023,facility,10,39,Moscow,"c(37.622856, 55.777287)",Moscow City
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2024,facility,0,6,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2013,facility,3,0,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2015,facility,0,1,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2016,facility,1,0,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2017,facility,2,1,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2018,facility,13,4,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2019,facility,4,4,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2020,facility,10,77,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2021,facility,7,1082,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2022,facility,10,754,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2023,facility,9,361,Moscow,"c(37.622856, 55.777287)",Moscow City
27th Central Research Institute of the Ministry of Defence of the Russian Federation,2024,facility,2,100,Moscow,"c(37.622856, 55.777287)",Moscow City
3D Bioprinting Solutions (Russia),2015,company,1,0,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2016,company,7,26,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2017,company,5,69,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2018,company,17,143,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2019,company,12,288,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2020,company,12,495,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2021,company,8,690,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2022,company,9,698,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2023,company,4,719,Moscow,"c(37.675503, 55.643105)",Moscow City
3D Bioprinting Solutions (Russia),2024,company,2,315,Moscow,"c(37.675503, 55.643105)",Moscow City
3rd Central Research Institute of the Russian Defence Ministry,2019,facility,2,0,Moscow,"c(37.622856, 55.777287)",Moscow City
3rd Central Research Institute of the Russian Defence Ministry,2020,facility,1,0,Moscow,"c(37.622856, 55.777287)",Moscow City
3rd Central Research Institute of the Russian Defence Ministry,2021,facility,1,1,Moscow,"c(37.622856, 55.777287)",Moscow City
3rd Central Research Institute of the Russian Defence Ministry,2022,facility,2,2,Moscow,"c(37.622856, 55.777287)",Moscow City
3rd Central Research Institute of the Russian Defence Ministry,2024,facility,0,4,Moscow,"c(37.622856, 55.777287)",Moscow City
4th Central Research Institute of the Russian Defence Ministry,2018,facility,0,1,Moscow,"c(37.622856, 55.777287)",Moscow City
4th Central Research Institute of the Russian Defence Ministry,2019,facility,0,1,Moscow,"c(37.622856, 55.777287)",Moscow City
4th Central Research Institute of the Russian Defence Ministry,2020,facility,0,1,Moscow,"c(37.622856, 55.777287)",Moscow City
A N Bach Institute of Biochemistry,2012,facility,112,2179,Moscow,"c(37.577812, 55.7108)",Moscow City
