display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
Institute of Plastics named after G. Petrov,2019,facility,1,12,Moscow,"c(37.709625, 55.74445)",Moscow City
Institute of Plastics named after G. Petrov,2020,facility,3,18,Moscow,"c(37.709625, 55.74445)",Moscow City
Institute of Plastics named after G. Petrov,2021,facility,0,15,Moscow,"c(37.709625, 55.74445)",Moscow City
Institute of Plastics named after G. Petrov,2022,facility,4,22,Moscow,"c(37.709625, 55.74445)",Moscow City
Institute of Plastics named after G. Petrov,2023,facility,1,19,Moscow,"c(37.709625, 55.74445)",Moscow City
Institute of Plastics named after G. Petrov,2024,facility,0,6,Moscow,"c(37.709625, 55.74445)",Moscow City
Institute of Practical Oriental Studies,2012,education,1,0,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2014,education,2,0,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2016,education,4,0,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2017,education,1,1,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2018,education,3,0,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2019,education,1,6,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2020,education,1,6,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2021,education,2,9,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2022,education,0,6,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2023,education,0,5,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Oriental Studies,2024,education,0,4,Moscow,"c(37.571377, 55.676216)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2012,education,1,5,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2013,education,3,5,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2014,education,4,5,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2015,education,9,4,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2016,education,14,9,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2017,education,20,22,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2018,education,11,18,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2019,education,27,20,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2020,education,40,49,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2021,education,68,83,Moscow,"c(37.644363, 55.82152)",Moscow City
